ID,性別,年齢,利用頻度,安い価格,お買い得価格,高い価格,高すぎる価格
1,男性,25,週1回,3000,4000,6000,8000
2,女性,32,月2-3回,3500,4500,7000,9000
3,男性,45,月1回,2500,3500,5500,7500
4,女性,28,週2-3回,4000,5000,8000,10000
5,男性,38,週1回,3000,4000,6500,8500
6,女性,52,月2-3回,2000,3000,5000,7000
7,男性,29,週2-3回,3500,4500,7000,9500
8,女性,41,月1回,2500,3500,6000,8000
9,男性,35,週1回,3000,4000,6000,8000
10,女性,26,月2-3回,3500,4500,7500,9500
11,男性,48,週1回,2500,3500,5500,7500
12,女性,33,週2-3回,4000,5000,8000,11000
13,男性,27,月1回,3000,4000,6500,8500
14,女性,44,週1回,2500,3500,6000,8000
15,男性,31,月2-3回,3500,4500,7000,9000
16,女性,39,週2-3回,3000,4000,6500,8500
17,男性,50,月1回,2000,3000,5000,7000
18,女性,24,週1回,4000,5000,8000,10000
19,男性,36,月2-3回,3000,4000,6000,8000
20,女性,42,週2-3回,3500,4500,7500,9500
